"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2000","Ulster County Sales and Use Tax","$66,936,232","55"
"2000","Warren County Sales and Use Tax","$31,478,336","56"
"2000","Washington County Sales and Use Tax","$11,571,594","57"
"2000","Wayne County Sales and Use Tax","$21,884,374","58"
"2000","Westchester County Sales and Use Tax","$293,962,692","59"
"2000","Wyoming County Sales and Use Tax","$11,113,353","60"
"2000","Yates County Sales and Use Tax","$5,120,422","61"
"2000","City of Amsterdam Sales and Use Tax","$2,263","62"
"2000","City of Auburn Sales and Use Tax","$5,901,548","63"
"2000","City of Batavia Sales and Use Tax","$2,693,687","64"
"2000","City of Canandaigua Sales and Use Tax","$2,659,500","65"
"2000","City of Corning Sales and Use Tax","$2,454,541","66"
"2000","City of Cortland Sales and Use Tax","$33,122","67"
"2000","City of Elmira Sales and Use Tax","$26,719","68"
"2000","City of Fulton Sales and Use Tax","$4,515,071","69"
"2000","City of Geneva Sales and Use Tax","$2,153,413","70"
"2000","City of Glen Cove Sales and Use Tax","$562","71"
"2000","City of Glens Falls Sales and Use Tax","$2,430,184","72"
"2000","City of Gloversville Sales and Use Tax","$1,352,697","73"
"2000","City of Hornell Sales and Use Tax","$1,849,910","74"
"2000","City of Ithaca Sales and Use Tax","$5,903,406","75"
"2000","City of Johnstown Sales and Use Tax","$1,519,815","76"
"2000","City of Mechanicville Sales and Use Tax","$0","77"
"2000","City of Mount Vernon Sales and Use Tax","$9,345,378","78"
"2000","City of New Rochelle Sales and Use Tax","$19,108,999","79"
"2000","City of Norwich Sales and Use Tax","$1,271,347","80"
"2000","City of Ogdensburg Sales and Use Tax","$1,794,185","81"
"2000","City of Olean Sales and Use Tax","$4,456,437","82"
"2000","City of Oneida Sales and Use Tax","$2,513,120","83"
"2000","City of Oswego Sales and Use Tax","$7,569,262","84"
"2000","City of Plattsburgh Sales and Use Tax","$2,581","85"
"2000","City of Rome Sales and Use Tax","$5,558,936","86"
"2000","City of Salamanca Sales and Use Tax","$500,102","87"
"2000","City of Saratoga Springs Sales and Use Tax","$765","88"
"2000","City of Schenectady Sales and Use Tax","$5,177","89"
"2000","City of Sherrill Sales and Use Tax","$230,060","90"
"2000","City of Troy Sales and Use Tax","$940","91"
"2000","City of Utica Sales and Use Tax","$7,519,407","92"
"2000","City of White Plains Sales and Use Tax","$34,394,111","93"
"2000","City of Yonkers Sales and Use Tax","$23,019,671","94"
"2000","City of Yonkers Special Sales and Use Tax","$15,347,157","95"
"2000","City of Newburgh Consumer Utilities","$728,135","96"
"2000","City of Port Jervis Consumer Utilities","$272,752","97"
"2000","Albany City School District Consumer Utilities","$4,513,101","98"
"2000","Batavia City School District Consumer Utilities","$755,963","99"
"2000","Cohoes City School District Consumer Utilities","$485,690","100"
"2000","Glen Cove City School District Consumer Utilities","$928,582","101"
"2000","Gloversville City School District Consumer Utilities","$602,995","102"
"2000","Hornell City School District Consumer Utilities","$381,097","103"
"2000","Hudson City School District Consumer Utilities","$540,368","104"
"2000","Johnstown City School District Consumer Utilities","$439,318","105"
"2000","Lackawanna City School District Consumer Utilities","$561,076","106"
"2000","Long Beach City School District Consumer Utilities","$1,292,338","107"
"2000","Middletown City School District Consumer Utilities","$1,514,173","108"
"2000","Mt. Vernon City School District Consumer Utilities","$0","109"
"2000","New Rochelle City School District Consumer Utilities","$2,345,565","110"
"2000","Newburgh City School District Consumer Utilities","$0","111"
"2000","Niagara Falls City School District Consumer Utilities","$2,185,543","112"
"2000","Ogdensburg City School District Consumer Utilities","$391,728","113"
"2000","Peekskill City School District Consumer Utilities","$0","114"
"2000","Rensselaer City School District Consumer Utilities","$0","115"
"2000","Schenectady City School District Consumer Utilities","$2,324,474","116"
"2000","Troy City School District Consumer Utilities","$0","117"
"2000","Utica City School District Consumer Utilities","$2,341,532","118"
"2000","Watertown City School District Consumer Utilities","$1,178,938","119"
"2000","Watervliet City School District Consumer Utilities","$352,915","120"
"2000","White Plains City School District Consumer Utilities","$2,854,254","121"
"2000","Hudson Valley Greenway Hotel Occupancy","$0","122"
"2000","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$1,506,312","123"
"2000","City of Long Beach Hotel Occupancy and Restaurant Meals","$574,519","124"
"2000","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$0","125"
"2000","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$4,622,785","126"
"2000","City of North Tonawanda Food, Drink, and Utilities Services","$168,438","127"
"1999","New York State Sales and Use Tax","$7,646,928,787","1"
"1999","New York City Sales and Use Tax","$136,491,384","2"
"1999","Municipal Assistance Corporation Sales and Use Tax","$3,043,047,389","3"
"1999","Metropolitan Commuter Transportation District Sales and Use Tax","$321,404,636","4"
"1999","Albany County Sales and Use Tax","$168,204,622","5"
"1999","Allegany County Sales and Use Tax","$11,572,056","6"
"1999","Broome County Sales and Use Tax","$79,684,236","7"
"1999","Cattaraugus County Sales and Use Tax","$22,717,445","8"
"1999","Cayuga County Sales and Use Tax","$19,309,728","9"
"1999","Chautauqua County Sales and Use Tax","$35,967,942","10"
"1999","Chemung County Sales and Use Tax","$30,427,464","11"
"1999","Chenango County Sales and Use Tax","$9,341,195","12"
"1999","Clinton County Sales and Use Tax","$25,520,411","13"
"1999","Columbia County Sales and Use Tax","$20,301,001","14"
"1999","Cortland County Sales and Use Tax","$16,790,675","15"
"1999","Delaware County Sales and Use Tax","$7,482,674","16"
"1999","Dutchess County Sales and Use Tax","$85,766,451","17"
"1999","Erie County Sales and Use Tax","$395,802,411","18"
"1999","Essex County Sales and Use Tax","$12,088,823","19"
"1999","Franklin County Sales and Use Tax","$9,357,648","20"
"1999","Fulton County Sales and Use Tax","$8,879,031","21"
"1999","Genesee County Sales and Use Tax","$19,218,230","22"
"1999","Greene County Sales and Use Tax","$15,056,757","23"
"1999","Hamilton County Sales and Use Tax","$1,782,981","24"
"1999","Herkimer County Sales and Use Tax","$15,741,113","25"
"1999","Jefferson County Sales and Use Tax","$31,818,065","26"
"1999","Lewis County Sales and Use Tax","$4,784,707","27"
"1999","Livingston County Sales and Use Tax","$14,035,660","28"
"1999","Madison County Sales and Use Tax","$12,003,286","29"
"1999","Monroe County Sales and Use Tax","$324,256,864","30"
"1999","Montgomery County Sales and Use Tax","$11,900,811","31"
"1999","Nassau County Sales and Use Tax","$716,197,374","32"
"1999","Niagara County Sales and Use Tax","$54,910,948","33"
"1999","Oneida County Sales and Use Tax","$68,038,314","34"
"1999","Onondaga County Sales and Use Tax","$164,198,282","35"
"1999","Ontario County Sales and Use Tax","$35,289,276","36"
"1999","Orange County Sales and Use Tax","$104,764,197","37"
"1999","Orleans County Sales and Use Tax","$9,619,458","38"
"1999","Oswego County Sales and Use Tax","$15,110,475","39"
"1999","Otsego County Sales and Use Tax","$15,446,686","40"
"1999","Putnam County Sales and Use Tax","$23,528,712","41"
"1999","Rensselaer County Sales and Use Tax","$41,666,498","42"
"1999","Rockland County Sales and Use Tax","$90,631,839","43"
"1999","St. Lawrence County Sales and Use Tax","$27,813,828","44"
"1999","Saratoga County Sales and Use Tax","$56,269,644","45"
"1999","Schenectady County Sales and Use Tax","$47,021,267","46"
"1999","Schoharie County Sales and Use Tax","$6,546,859","47"
"1999","Schuyler County Sales and Use Tax","$3,744,189","48"
"1999","Seneca County Sales and Use Tax","$10,009,952","49"
"1999","Steuben County Sales and Use Tax","$26,944,503","50"
"1999","Suffolk County Sales and Use Tax","$668,737,007","51"
"1999","Sullivan County Sales and Use Tax","$17,169,056","52"
"1999","Tioga County Sales and Use Tax","$10,702,263","53"
"1999","Tompkins County Sales and Use Tax","$28,292,989","54"
"1999","Ulster County Sales and Use Tax","$60,281,808","55"
"1999","Warren County Sales and Use Tax","$28,853,806","56"
"1999","Washington County Sales and Use Tax","$10,179,245","57"
"1999","Wayne County Sales and Use Tax","$20,850,374","58"
"1999","Westchester County Sales and Use Tax","$268,855,123","59"
"1999","Wyoming County Sales and Use Tax","$10,558,594","60"
"1999","Yates County Sales and Use Tax","$4,618,831","61"
"1999","City of Amsterdam Sales and Use Tax","$1,504","62"
"1999","City of Auburn Sales and Use Tax","$5,517,948","63"
"1999","City of Batavia Sales and Use Tax","$2,558,912","64"
"1999","City of Canandaigua Sales and Use Tax","$2,619,432","65"
"1999","City of Corning Sales and Use Tax","$2,379,203","66"
"1999","City of Cortland Sales and Use Tax","$50,285","67"
"1999","City of Elmira Sales and Use Tax","$9,817","68"
"1999","City of Fulton Sales and Use Tax","$4,406,580","69"
"1999","City of Geneva Sales and Use Tax","$1,902,788","70"
"1999","City of Glen Cove Sales and Use Tax","$1,756","71"
"1999","City of Glens Falls Sales and Use Tax","$2,443,756","72"
"1999","City of Gloversville Sales and Use Tax","$1,300,176","73"
"1999","City of Hornell Sales and Use Tax","$1,640,581","74"
"1999","City of Ithaca Sales and Use Tax","$5,887,115","75"
"1999","City of Johnstown Sales and Use Tax","$1,341,236","76"
"1999","City of Mechanicville Sales and Use Tax","$260","77"
"1999","City of Mount Vernon Sales and Use Tax","$8,602,024","78"
"1999","City of New Rochelle Sales and Use Tax","$18,152,684","79"
"1999","City of Norwich Sales and Use Tax","$1,023,842","80"
"1999","City of Ogdensburg Sales and Use Tax","$1,642,377","81"
"1999","City of Olean Sales and Use Tax","$2,708,112","82"
"1999","City of Oneida Sales and Use Tax","$2,213,700","83"
"1999","City of Oswego Sales and Use Tax","$6,468,092","84"
"1999","City of Plattsburgh Sales and Use Tax","$0","85"
"1999","City of Rome Sales and Use Tax","$4,907,274","86"
"1999","City of Salamanca Sales and Use Tax","$456,280","87"
"1999","City of Saratoga Springs Sales and Use Tax","$2,793","88"
"1999","City of Schenectady Sales and Use Tax","$1,988","89"
"1999","City of Sherrill Sales and Use Tax","$264,214","90"
"1999","City of Troy Sales and Use Tax","$1,710","91"
"1999","City of Utica Sales and Use Tax","$7,091,237","92"
"1999","City of White Plains Sales and Use Tax","$30,746,272","93"
"1999","City of Yonkers Sales and Use Tax","$21,485,289","94"
"1999","City of Yonkers Special Sales and Use Tax","$14,329,445","95"
"1999","City of Newburgh Consumer Utilities","$682,432","96"
"1999","City of Oneonta Consumer Utilites","$199","97"
"1999","City of Port Jervis Consumer Utilities","$266,292","98"
"1999","Albany City School District Consumer Utilities","$4,416,692","99"
"1999","Batavia City School District Consumer Utilities","$741,790","100"
"1999","Cohoes City School District Consumer Utilities","$457,156","101"
"1999","Glen Cove City School District Consumer Utilities","$932,764","102"
"1999","Gloversville City School District Consumer Utilities","$589,909","103"
"1999","Hornell City School District Consumer Utilities","$352,220","104"
"1999","Hudson City School District Consumer Utilities","$496,552","105"
"1999","Johnstown City School District Consumer Utilities","$416,863","106"
"1999","Lackawanna City School District Consumer Utilities","$532,592","107"
"1999","Long Beach City School District Consumer Utilities","$1,292,741","108"
"1999","Middletown City School District Consumer Utilities","$1,339,459","109"
"1999","Mt. Vernon City School District Consumer Utilities","$0","110"
"1999","New Rochelle City School District Consumer Utilities","$2,333,793","110"
"1999","Newburgh City School District Consumer Utilities","$0","111"
"1999","Niagara Falls City School District Consumer Utilities","$2,036,392","112"
"1999","Ogdensburg City School District Consumer Utilities","$334,792","113"
"1999","Peekskill City School District Consumer Utilities","$0","114"
"1999","Rensselaer City School District Consumer Utilities","$0","115"
"1999","Schenectady City School District Consumer Utilities","$2,279,590","116"
"1999","Troy City School District Consumer Utilities","$0","117"
"1999","Utica City School District Consumer Utilities","$2,207,718","118"
"1999","Watertown City School District Consumer Utilities","$1,193,995","119"
"1999","Watervliet City School District Consumer Utilities","$356,078","121"
"1999","White Plains City School District Consumer Utilities","$3,136,418","122"
"1999","Hudson Valley Greenway Hotel Occupancy","$81","123"
"1999","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$6,772,368","124"
"1999","City of Long Beach Hotel Occupancy and Restaurant Meals","$498,543","125"
"1999","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$0","126"
"1999","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$4,646,020","127"
"1999","City of North Tonawanda Food, Drink, and Utilities Services","$720,900","128"
"1998","New York State Sales and Use Tax","$7,308,285,190","1"
"1998","New York City Sales and Use Tax","$129,617,926","2"
"1998","Municipal Assistance Corporation Sales and Use Tax","$2,890,004,254","3"
"1998","Metropolitan Commuter Transportation District Sales and Use Tax","$305,948,100","4"
"1998","Albany County Sales and Use Tax","$167,551,595","5"
"1998","Allegany County Sales and Use Tax","$12,248,202","6"
"1998","Broome County Sales and Use Tax","$78,780,745","7"
"1998","Cattaraugus County Sales and Use Tax","$22,142,957","8"
"1998","Cayuga County Sales and Use Tax","$19,140,684","9"
"1998","Chautauqua County Sales and Use Tax","$35,888,217","10"
"1998","Chemung County Sales and Use Tax","$30,133,866","11"
"1998","Chenango County Sales and Use Tax","$9,229,937","12"
"1998","Clinton County Sales and Use Tax","$23,039,359","13"
"1998","Columbia County Sales and Use Tax","$19,210,964","14"
"1998","Cortland County Sales and Use Tax","$16,541,344","15"
"1998","Delaware County Sales and Use Tax","$7,130,946","16"
"1998","Dutchess County Sales and Use Tax","$85,416,524","17"
"1998","Erie County Sales and Use Tax","$397,603,090","18"
"1998","Essex County Sales and Use Tax","$11,361,017","19"
"1998","Franklin County Sales and Use Tax","$9,182,498","20"
"1998","Fulton County Sales and Use Tax","$8,489,523","21"
"1998","Genesee County Sales and Use Tax","$17,833,313","22"
"1998","Greene County Sales and Use Tax","$15,168,510","23"
"1998","Hamilton County Sales and Use Tax","$1,722,795","24"
"1998","Herkimer County Sales and Use Tax","$15,409,650","25"
"1998","Jefferson County Sales and Use Tax","$30,856,893","26"
"1998","Lewis County Sales and Use Tax","$4,639,687","27"
"1998","Livingston County Sales and Use Tax","$13,507,636","28"
"1998","Madison County Sales and Use Tax","$11,920,705","29"
"1998","Monroe County Sales and Use Tax","$321,702,240","30"
"1998","Montgomery County Sales and Use Tax","$11,070,588","31"
"1998","Nassau County Sales and Use Tax","$694,373,590","32"
"1998","Niagara County Sales and Use Tax","$55,182,665","33"
"1998","Oneida County Sales and Use Tax","$65,529,930","34"
"1998","Onondaga County Sales and Use Tax","$158,333,701","35"
"1998","Ontario County Sales and Use Tax","$33,137,775","36"
"1998","Orange County Sales and Use Tax","$100,179,255","37"
"1998","Orleans County Sales and Use Tax","$9,289,449","38"
"1998","Oswego County Sales and Use Tax","$15,230,754","39"
"1998","Otsego County Sales and Use Tax","$15,637,349","40"
"1998","Putnam County Sales and Use Tax","$20,928,347","41"
"1998","Rensselaer County Sales and Use Tax","$40,433,342","42"
"1998","Rockland County Sales and Use Tax","$82,432,430","43"
"1998","St. Lawrence County Sales and Use Tax","$24,977,723","44"
"1998","Saratoga County Sales and Use Tax","$53,278,961","45"
"1998","Schenectady County Sales and Use Tax","$44,341,736","46"
"1998","Schoharie County Sales and Use Tax","$6,614,728","47"
"1998","Schuyler County Sales and Use Tax","$3,544,543","48"
"1998","Seneca County Sales and Use Tax","$9,329,191","49"
"1998","Steuben County Sales and Use Tax","$26,365,231","50"
"1998","Suffolk County Sales and Use Tax","$632,083,819","51"
"1998","Sullivan County Sales and Use Tax","$17,452,640","52"
"1998","Tioga County Sales and Use Tax","$10,657,914","53"
"1998","Tompkins County Sales and Use Tax","$29,049,251","54"
"1998","Ulster County Sales and Use Tax","$57,518,544","55"
"1998","Warren County Sales and Use Tax","$27,648,962","56"
"1998","Washington County Sales and Use Tax","$9,743,235","57"
"1998","Wayne County Sales and Use Tax","$19,982,728","58"
"1998","Westchester County Sales and Use Tax","$268,244,394","59"
"1998","Wyoming County Sales and Use Tax","$9,889,380","60"
"1998","Yates County Sales and Use Tax","$4,362,568","61"
"1998","City of Amsterdam Sales and Use Tax","$14,004","62"
"1998","City of Auburn Sales and Use Tax","$5,839,575","63"
"1998","City of Batavia Sales and Use Tax","$2,650,879","64"
"1998","City of Canandaigua Sales and Use Tax","$2,475,742","65"
"1998","City of Corning Sales and Use Tax","$2,432,477","66"
"1998","City of Cortland Sales and Use Tax","$77,650","67"
"1998","City of Elmira Sales and Use Tax","$72,686","68"
"1998","City of Fulton Sales and Use Tax","$3,835,817","69"
"1998","City of Geneva Sales and Use Tax","$1,810,104","70"
"1998","City of Glen Cove Sales and Use Tax","$15,191","71"
"1998","City of Glens Falls Sales and Use Tax","$2,248,182","72"
"1998","City of Gloversville Sales and Use Tax","$1,348,632","73"
"1998","City of Hornell Sales and Use Tax","$1,429,673","74"
"1998","City of Ithaca Sales and Use Tax","$5,651,053","75"
"1998","City of Johnstown Sales and Use Tax","$1,279,298","76"
"1998","City of Mechanicville Sales and Use Tax","$9,605","77"
"1998","City of Mount Vernon Sales and Use Tax","$8,892,171","78"
"1998","City of New Rochelle Sales and Use Tax","$17,784,520","79"
"1998","City of Norwich Sales and Use Tax","$918,912","80"
"1998","City of Ogdensburg Sales and Use Tax","$1,525,252","81"
"1998","City of Olean Sales and Use Tax","$3,470,994","82"
"1998","City of Oneida Sales and Use Tax","$1,964,201","83"
"1998","City of Oswego Sales and Use Tax","$6,572,573","84"
"1998","City of Plattsburgh Sales and Use Tax","$0","85"
"1998","City of Rome Sales and Use Tax","$4,846,667","86"
"1998","City of Salamanca Sales and Use Tax","$457,315","87"
"1998","City of Saratoga Springs Sales and Use Tax","$4,210","88"
"1998","City of Schenectady Sales and Use Tax","$34,367","89"
"1998","City of Sherrill Sales and Use Tax","$235,489","90"
"1998","City of Troy Sales and Use Tax","$2,185","91"
"1998","City of Utica Sales and Use Tax","$6,922,964","92"
"1998","City of White Plains Sales and Use Tax","$31,467,801","93"
"1998","City of Yonkers Sales and Use Tax","$22,418,505","94"
"1998","City of Yonkers Special Sales and Use Tax","$14,970,565","95"
"1998","City of Newburgh Consumer Utilities","$805,277","96"
"1998","City of Oneonta Consumer Utilites","$9,678","97"
"1998","City of Port Jervis Consumer Utilities","$324,662","98"
"1998","Albany City School District Consumer Utilities","$4,484,320","99"
"1998","Batavia City School District Consumer Utilities","$809,024","100"
"1998","Cohoes City School District Consumer Utilities","$495,236","101"
"1998","Glen Cove City School District Consumer Utilities","$957,698","102"
"1998","Gloversville City School District Consumer Utilities","$596,824","103"
"1998","Hornell City School District Consumer Utilities","$392,270","104"
"1998","Hudson City School District Consumer Utilities","$510,898","105"
"1998","Johnstown City School District Consumer Utilities","$416,262","106"
"1998","Lackawanna City School District Consumer Utilities","$655,158","107"
"1998","Long Beach City School District Consumer Utilities","$1,362,390","108"
"1998","Middletown City School District Consumer Utilities","$1,267,901","109"
"1998","Mt. Vernon City School District Consumer Utilities","$0","110"
"1998","New Rochelle City School District Consumer Utilities","$2,464,982","111"
"1998","Newburgh City School District Consumer Utilities","$0","112"
"1998","Niagara Falls City School District Consumer Utilities","$2,340,775","113"
"1998","Ogdensburg City School District Consumer Utilities","$364,138","114"
"1998","Peekskill City School District Consumer Utilities","$0","115"
"1998","Rensselaer City School District Consumer Utilities","$0","116"
"1998","Schenectady City School District Consumer Utilities","$2,334,894","117"
"1998","Troy City School District Consumer Utilities","$0","118"
"1998","Utica City School District Consumer Utilities","$2,462,654","119"
"1998","Watertown City School District Consumer Utilities","$1,211,793","120"
"1998","Watervliet City School District Consumer Utilities","$363,099","121"
"1998","White Plains City School District Consumer Utilities","$3,455,103","122"
"1998","Hudson Valley Greenway Hotel Occupancy","$2,667","123"
"1998","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$1,492,980","124"
"1998","City of Long Beach Hotel Occupancy and Restaurant Meals","$404,269","125"
"1998","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$0","126"
"1998","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$5,211,732","127"
"1998","City of North Tonawanda Food, Drink, and Utilities Services","$1,398,100","128"
"1997","New York State Sales and Use Tax","$7,060,391,379","1"
"1997","New York City Sales and Use Tax","$125,105,954","2"
"1997","Municipal Assistance Corporation Sales and Use Tax","$2,761,070,865","3"
"1997","Metropolitan Commuter Transportation District Sales and Use Tax","$291,128,961","4"
"1997","Albany County Sales and Use Tax","$161,729,286","5"
"1997","Allegany County Sales and Use Tax","$11,869,847","6"
"1997","Broome County Sales and Use Tax","$76,958,078","7"
"1997","Cattaraugus County Sales and Use Tax","$22,606,123","8"
"1997","Cayuga County Sales and Use Tax","$19,340,841","9"
"1997","Chautauqua County Sales and Use Tax","$35,286,113","10"
"1997","Chemung County Sales and Use Tax","$28,876,125","11"
"1997","Chenango County Sales and Use Tax","$8,795,330","12"
"1997","Clinton County Sales and Use Tax","$24,066,915","13"
"1997","Columbia County Sales and Use Tax","$19,130,359","14"
"1997","Cortland County Sales and Use Tax","$17,532,800","15"
"1997","Delaware County Sales and Use Tax","$7,172,491","16"
"1997","Dutchess County Sales and Use Tax","$84,061,224","17"
"1997","Erie County Sales and Use Tax","$393,153,643","18"
"1997","Essex County Sales and Use Tax","$11,842,080","19"
"1997","Franklin County Sales and Use Tax","$9,079,744","20"
"1997","Fulton County Sales and Use Tax","$8,347,212","21"
"1997","Genesee County Sales and Use Tax","$17,388,789","22"
"1997","Greene County Sales and Use Tax","$14,598,467","23"
"1997","Hamilton County Sales and Use Tax","$1,712,087","24"
"1997","Herkimer County Sales and Use Tax","$15,672,996","25"
"1997","Jefferson County Sales and Use Tax","$30,567,385","26"
"1997","Lewis County Sales and Use Tax","$4,412,898","27"
"1997","Livingston County Sales and Use Tax","$12,990,750","28"
"1997","Madison County Sales and Use Tax","$11,476,072","29"
"1997","Monroe County Sales and Use Tax","$324,575,118","30"
"1997","Montgomery County Sales and Use Tax","$11,313,181","31"
"1997","Nassau County Sales and Use Tax","$674,246,070","32"
"1997","Niagara County Sales and Use Tax","$56,342,763","33"
"1997","Oneida County Sales and Use Tax","$65,441,818","34"
"1997","Onondaga County Sales and Use Tax","$153,783,164","35"
"1997","Ontario County Sales and Use Tax","$33,320,002","36"
"1997","Orange County Sales and Use Tax","$96,658,086","37"
"1997","Orleans County Sales and Use Tax","$9,661,377","38"
"1997","Oswego County Sales and Use Tax","$0","39"
"1997","Otsego County Sales and Use Tax","$14,703,440","40"
"1997","Putnam County Sales and Use Tax","$19,880,344","41"
"1997","Rensselaer County Sales and Use Tax","$39,631,825","42"
"1997","Rockland County Sales and Use Tax","$77,112,726","43"
"1997","St. Lawrence County Sales and Use Tax","$24,561,106","44"
"1997","Saratoga County Sales and Use Tax","$51,591,711","45"
"1997","Schenectady County Sales and Use Tax","$42,924,756","46"
"1997","Schoharie County Sales and Use Tax","$6,655,958","47"
"1997","Schuyler County Sales and Use Tax","$3,569,125","48"
"1997","Seneca County Sales and Use Tax","$8,619,836","49"
"1997","Steuben County Sales and Use Tax","$26,727,745","50"
"1997","Suffolk County Sales and Use Tax","$594,028,650","51"
"1997","Sullivan County Sales and Use Tax","$16,759,335","52"
"1997","Tioga County Sales and Use Tax","$10,597,358","53"
"1997","Tompkins County Sales and Use Tax","$27,523,089","54"
"1997","Ulster County Sales and Use Tax","$56,986,882","55"
"1997","Warren County Sales and Use Tax","$26,548,070","56"
"1997","Washington County Sales and Use Tax","$9,682,016","57"
"1997","Wayne County Sales and Use Tax","$19,657,658","58"
"1997","Westchester County Sales and Use Tax","$255,021,047","59"
"1997","Wyoming County Sales and Use Tax","$9,694,640","60"
"1997","Yates County Sales and Use Tax","$4,364,204","61"
"1997","City of Amsterdam Sales and Use Tax","$79,621","62"
"1997","City of Auburn Sales and Use Tax","$4,471,342","63"
"1997","City of Batavia Sales and Use Tax","$2,664,018","64"
"1997","City of Canandaigua Sales and Use Tax","$2,404,483","65"
"1997","City of Corning Sales and Use Tax","$2,583,496","66"
"1997","City of Cortland Sales and Use Tax","$82,980","67"
"1997","City of Elmira Sales and Use Tax","$32,560","68"
"1997","City of Fulton Sales and Use Tax","$3,643,574","69"
"1997","City of Geneva Sales and Use Tax","$1,716,873","70"
"1997","City of Glen Cove Sales and Use Tax","$2,163","71"
"1997","City of Glens Falls Sales and Use Tax","$2,539,819","72"
"1997","City of Gloversville Sales and Use Tax","$1,313,664","73"
"1997","City of Hornell Sales and Use Tax","$1,641,054","74"
"1997","City of Ithaca Sales and Use Tax","$5,439,976","75"
"1997","City of Johnstown Sales and Use Tax","$1,321,128","76"
"1997","City of Mechanicville Sales and Use Tax","$0","77"
"1997","City of Mount Vernon Sales and Use Tax","$8,595,636","78"
"1997","City of New Rochelle Sales and Use Tax","$14,060,781","79"
"1997","City of Norwich Sales and Use Tax","$1,012,803","80"
"1997","City of Ogdensburg Sales and Use Tax","$1,574,681","81"
"1997","City of Olean Sales and Use Tax","$3,503,723","82"
"1997","City of Oneida Sales and Use Tax","$1,996,109","83"
"1997","City of Oswego Sales and Use Tax","$6,670,603","84"
"1997","City of Plattsburgh Sales and Use Tax","$0","85"
"1997","City of Rome Sales and Use Tax","$4,893,050","86"
"1997","City of Salamanca Sales and Use Tax","$521,642","87"
"1997","City of Saratoga Springs Sales and Use Tax","$3,215","88"
"1997","City of Schenectady Sales and Use Tax","$11,763","89"
"1997","City of Sherrill Sales and Use Tax","$211,362","90"
"1997","City of Troy Sales and Use Tax","$5,878","91"
"1997","City of Utica Sales and Use Tax","$7,231,486","92"
"1997","City of White Plains Sales and Use Tax","$32,021,205","93"
"1997","City of Yonkers Sales and Use Tax","$21,704,749","94"
"1997","City of Yonkers Special Sales and Use Tax","$14,469,186","95"
"1997","City of Newburgh Consumer Utilities","$766,460","96"
"1997","City of Oneonta Consumer Utilites","$128","97"
"1997","City of Port Jervis Consumer Utilities","$316,287","98"
"1997","Albany City School District Consumer Utilities","$4,276,517","99"
"1997","Batavia City School District Consumer Utilities","$780,698","100"
"1997","Cohoes City School District Consumer Utilities","$498,833","101"
"1997","Glen Cove City School District Consumer Utilities","$975,849","102"
"1997","Gloversville City School District Consumer Utilities","$559,895","103"
"1997","Hornell City School District Consumer Utilities","$347,927","104"
"1997","Hudson City School District Consumer Utilities","$509,165","105"
"1997","Johnstown City School District Consumer Utilities","$408,748","106"
"1997","Lackawanna City School District Consumer Utilities","$613,423","107"
"1997","Long Beach City School District Consumer Utilities","$1,334,914","108"
"1997","Middletown City School District Consumer Utilities","$1,283,250","109"
"1997","Mt. Vernon City School District Consumer Utilities","$0","110"
"1997","New Rochelle City School District Consumer Utilities","$2,415,863","111"
"1997","Newburgh City School District Consumer Utilities","$0","112"
"1997","Niagara Falls City School District Consumer Utilities","$2,312,245","113"
"1997","Ogdensburg City School District Consumer Utilities","$352,187","114"
"1997","Peekskill City School District Consumer Utilities","$0","115"
"1997","Rensselaer City School District Consumer Utilities","$0","116"
"1997","Schenectady City School District Consumer Utilities","$2,366,155","117"
"1997","Troy City School District Consumer Utilities","$0","118"
"1997","Utica City School District Consumer Utilities","$2,436,017","119"
"1997","Watertown City School District Consumer Utilities","$1,149,645","120"
"1997","Watervliet City School District Consumer Utilities","$370,625","121"
"1997","White Plains City School District Consumer Utilities","$3,405,128","122"
"1997","Hudson Valley Greenway Hotel Occupancy","$14,121","123"
"1997","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$1,433,917","124"
"1997","City of Long Beach Hotel Occupancy and Restaurant Meals","$450,784","125"
"1997","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$0","126"
"1997","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$4,875,568","127"
"1997","City of North Tonawanda Food, Drink, and Utilities Services","$1,370,898","128"
"1996","New York State Sales and Use Tax","$6,688,967,367","1"
"1996","New York City Sales and Use Tax","$129,963,404","2"
"1996","Municipal Assistance Corporation Sales and Use Tax","$2,553,843,470","3"
