"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2022","Chautauqua County Sales and Use Tax","$87,940,314","9"
"2022","Chemung County Sales and Use Tax","$72,369,542","10"
"2022","Chenango County Sales and Use Tax","$30,228,788","11"
"2022","Clinton County Sales and Use Tax","$68,790,601","12"
"2022","Columbia County Sales and Use Tax","$57,963,721","13"
"2022","Cortland County Sales and Use Tax","$38,440,839","14"
"2022","Delaware County Sales and Use Tax","$30,348,588","15"
"2022","Dutchess County Sales and Use Tax","$256,948,750","16"
"2022","Erie County Sales and Use Tax","$970,524,553","17"
"2022","Essex County Sales and Use Tax","$39,480,805","18"
"2022","Franklin County Sales and Use Tax","$31,527,498","19"
"2022","Fulton County Sales and Use Tax","$27,729,401","20"
"2022","Genesee County Sales and Use Tax","$51,172,033","21"
"2022","Greene County Sales and Use Tax","$44,640,107","22"
"2022","Hamilton County Sales and Use Tax","$5,018,246","23"
"2022","Herkimer County Sales and Use Tax","$41,737,111","24"
"2022","Jefferson County Sales and Use Tax","$100,811,835","25"
"2022","Lewis County Sales and Use Tax","$16,503,704","26"
"2022","Livingston County Sales and Use Tax","$43,257,970","27"
"2022","Madison County Sales and Use Tax","$38,389,357","28"
"2022","Monroe County Sales and Use Tax","$617,878,403","29"
"2022","Montgomery County Sales and Use Tax","$42,444,553","30"
"2022","Nassau County Sales and Use Tax","$1,470,018,867","31"
"2022","Niagara County Sales and Use Tax","$154,382,825","32"
"2022","Oneida County Sales and Use Tax","$180,251,149","33"
"2022","Onondaga County Sales and Use Tax","$444,838,133","34"
"2022","Ontario County Sales and Use Tax","$107,156,967","35"
"2022","Orange County Sales and Use Tax","$361,641,895","36"
"2022","Orleans County Sales and Use Tax","$22,380,075","37"
"2022","Oswego County Sales and Use Tax","$56,647,223","38"
"2022","Otsego County Sales and Use Tax","$46,074,968","39"
"2022","Putnam County Sales and Use Tax","$80,651,951","40"
"2022","Rensselaer County Sales and Use Tax","$113,015,731","41"
"2022","Rockland County Sales and Use Tax","$278,893,385","42"
"2022","St. Lawrence County Sales and Use Tax","$76,397,151","43"
"2022","Saratoga County Sales and Use Tax","$157,028,220","44"
"2022","Schenectady County Sales and Use Tax","$122,871,563","45"
"2022","Schoharie County Sales and Use Tax","$20,382,598","46"
"2022","Schuyler County Sales and Use Tax","$14,546,289","47"
"2022","Seneca County Sales and Use Tax","$31,678,872","48"
"2022","Steuben County Sales and Use Tax","$71,566,254","49"
"2022","Suffolk County Sales and Use Tax","$1,857,419,327","50"
"2022","Sullivan County Sales and Use Tax","$66,605,997","51"
"2022","Tioga County Sales and Use Tax","$29,866,262","52"
"2022","Tompkins County Sales and Use Tax","$63,825,719","53"
"2022","Ulster County Sales and Use Tax","$159,517,795","54"
"2022","Warren County Sales and Use Tax","$67,327,375","55"
"2022","Washington County Sales and Use Tax","$27,235,037","56"
"2022","Wayne County Sales and Use Tax","$60,591,473","57"
"2022","Westchester County Sales and Use Tax","$831,420,449","58"
